class,yolov8s,yolov9s,yolov10s,yolov11s,yolov12s
all,0.218,0.226,0.219,0.209,0.201
bike,0.277,0.334,0.313,0.297,0.312
bus,0.393,0.393,0.346,0.379,0.21
car,0.588,0.597,0.596,0.586,0.626
hydrant,0.257,0.245,0.236,0.178,0.169
light,0.0375,0.0423,0.0295,0.0323,0.0252
motor,0.394,0.421,0.327,0.346,0.431
other vehicle,0.00984,0.0228,0.0238,0.0173,0.0135
person,0.429,0.423,0.427,0.438,0.477
sign,0.233,0.225,0.158,0.232,0.144
skateboard,0.0,0.0,0.0,0.0,0.0
stroller,0.0,0.0047,0.171,0.0,0.0
truck,0.0015,0.00158,0.000513,0.00161,0.00334
